EDA_mean,EDA_std,EDA_range,EDA_slope,RR_mean,RR_std,RR_range,RR_slope,label,file_id
-0.7906676970965666,0.034940178716076,0.0940760012895937,-0.012297174730401067,0.8863796230813,0.036949589584203406,0.11130264439128934,-0.018474012319064186,0.0,ESTRES001_20250312_001_01
-0.7982479078258254,0.04134613197814404,0.11152208089213178,-0.028414356636587798,0.8676458352332705,0.03708226783963687,0.1120715405516085,-0.018539551772224758,0.0,ESTRES001_20250312_001_01
-0.8272870632113571,0.03685359965561103,0.11221918021967936,-0.025389864211499077,0.8486994701867967,0.037706013003512936,0.11375290567568441,-0.01884732075836084,0.0,ESTRES001_20250312_001_01
-0.851219065890341,0.027716841591907283,0.07057481088640016,-0.01922693974108647,0.8295973751299012,0.03851973327528778,0.11529711424080591,-0.019253208403102667,0.0,ESTRES001_20250312_001_01
-0.8458612461715045,0.03547517995421604,0.09736390948058349,0.0036492072123791037,0.8106692363101776,0.03872416741946289,0.11445008725649086,-0.019357492895107412,0.0,ESTRES001_20250312_001_01
-0.8085849457547962,0.09018604655196025,0.24494211089684625,0.04975782396775019,0.7926061943578311,0.03726978332848316,0.10832739089464938,-0.01859264115204213,0.0,ESTRES001_20250312_001_01
-0.7556963973937212,0.1241066326138458,0.30555727101614194,0.08411749865786496,0.7764451769202967,0.03327705677451099,0.09433944011649475,-0.016413986227725115,0.0,ESTRES001_20250312_001_01
-0.6910246382188748,0.1270541511640018,0.33079962904947224,0.08697926196345031,0.7634536299887051,0.026497559274721687,0.07450556957157795,-0.012514894551128666,0.0,ESTRES001_20250312_001_01
-0.6150423326144987,0.0974247111667385,0.2825476185412974,0.0650952755235221,0.7549209211336475,0.018012591225265745,0.053952554797869534,-0.0069822552204634215,0.0,ESTRES001_20250312_001_01
-0.5629260199459025,0.046722094697845586,0.13496941712503463,0.030036098085917538,0.7518707126624197,0.012745198272502525,0.033990795075285574,-0.0003428170815882969,0.0,ESTRES001_20250312_001_01
-0.5612857633327288,0.04398771637648505,0.12676813405916587,-0.007768191033276091,0.7547593558753165,0.017919271428235677,0.05421129756556253,0.006522872007541166,0.0,ESTRES001_20250312_001_01
-0.5755251160819087,0.0575594141126603,0.1455510207516384,-0.03196463776176249,0.7632731348420919,0.027092671122534072,0.07638739034545394,0.012585287734540524,0.0,ESTRES001_20250312_001_01
-0.5790991455943437,0.056783017643482404,0.1455510207516384,-0.025754905862249,0.7763267261388272,0.034457813873370144,0.09617487024523785,0.016926316364832092,0.0,ESTRES001_20250312_001_01
-0.5831592001082528,0.05199558982318184,0.12525074818209347,0.006311765278212498,0.7922840091629737,0.03807542858534329,0.10830236957366968,0.018981783174475533,0.0,ESTRES001_20250312_001_01
-0.5804175542231705,0.05506006518734927,0.13729319497873294,0.03622713647546149,0.8093252243500243,0.037586680653067556,0.10791051031853638,0.018710531249099428,0.0,ESTRES001_20250312_001_01
-0.556218916841847,0.052908905562997995,0.1397760735990906,0.033827636795986035,0.8258407469539296,0.03373077301732239,0.09778417031423647,0.01662920508730625,0.0,ESTRES001_20250312_001_01
